"row_id","heart_disease_mortality_per_100k","metro","urban_influence","economic_typology","econ__pct_civilian_labor","econ__pct_unemployment","econ__pct_uninsured_adults","econ__pct_uninsured_children","demo__pct_female","demo__pct_below_18_years_of_age","demo__pct_aged_65_years_and_older","demo__pct_adults_less_than_a_high_school_diploma","demo__pct_adults_with_high_school_diploma","demo__pct_adults_with_some_college","demo__pct_adults_bachelors_or_higher","demo__birth_rate_per_1k","demo__death_rate_per_1k","health__pct_adult_obesity","health__pct_adult_smoking","health__pct_diabetes","health__pct_low_birthweight","health__pct_physical_inacticity","health__air_pollution_particulate_matter","health__motor_vehicle_crash_deaths_per_100k","health__pop_per_dentist","health__pop_per_primary_care_physician","pure_population","demo__pct_nonwhite","metro_adjacency"
0,312,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Manufacturing",0.408,0.057,0.254,0.066,0.516,0.235,0.176,0.194223108,0.424302789,0.227091633,0.15438247,12,12,0.297,0.23,0.131,0.089,0.332,13,15.09,1650,1489,"less_than_250k",0.163,"metro"
1,257,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Mining",0.556,0.039,0.26,0.143,0.503,0.272,0.101,0.164133739,0.234042553,0.342451874,0.259371834,19,7,0.288,0.19,0.09,0.082,0.265,10,19.79,2010,2480,"less_than_250k",0.503,"metro"
4,195,"Metro","Large_in_a_metro_area_with_at_least_1_million_residents_or_more","Nonspecialized",0.541,0.057,0.07,0.023,0.522,0.179,0.115,0.158572844,0.237859267,0.186323092,0.417244797,12,6,0.212,0.156,0.084,0.098,0.209,10,3.14,629,690,"more_than_1mil",0.498,"metro"
5,218,"Nonmetro","Noncore_adjacent_to_a_small_metro_with_town_of_at_least_2500_residents","Nonspecialized",0.5,0.061,0.203,0.059,0.525,0.2,0.164,0.181636727,0.407185629,0.248502994,0.162674651,11,12,0.285,NA,0.104,0.058,0.238,13,NA,1810,6630,"2500_to_20k",0.07,"adjacent"
6,355,"Nonmetro","Noncore_not_adjacent_to_a_metro_micro_area_and_contains_a_town_of_2500__or_more_residents","Nonspecialized",0.471,0.05,0.225,0.103,0.511,0.237,0.171,0.122367101,0.413239719,0.306920762,0.157472417,14,12,0.284,0.234,0.137,0.07,0.29,9,29.39,3489,2590,"2500_to_20k",0.036,"nonadjacent"
8,288,"Nonmetro","Micropolitan_adjacent_to_a_small_metro_area","Government",0.501,0.048,0.212,0.055,0.516,0.207,0.121,0.137755102,0.294897959,0.280612245,0.286734694,11,8,0.283,0.22,0.112,0.089,0.272,13,13.74,2439,1540,"more_than_20k",0.076,"adjacent"
10,283,"Nonmetro","Noncore_adjacent_to_a_large_metro_area","Nonspecialized",0.462,0.088,0.18,0.039,0.507,0.221,0.167,0.109879032,0.425403226,0.326612903,0.138104839,10,10,0.305,0.205,0.11,0.07,0.282,12,18.55,3100,3689,"2500_to_20k",0.04,"adjacent"
11,315,"Metro","Small_in_a_metro_area_with_fewer_than_1_million_residents","Manufacturing",0.425,0.077,0.252,0.079,0.499,0.247,0.134,0.12286002,0.315206445,0.364551863,0.197381672,12,10,0.317,0.264,0.131,0.092,0.277,13,22.27,2800,1790,"250k_to_1mil",0.304,"metro"
14,426,"Nonmetro","Micropolitan_not_adjacent_to_a_metro_area","Nonspecialized",0.313,0.111,0.275,0.063,0.473,0.248,0.11,0.292134831,0.278855975,0.287027579,0.141981614,12,10,0.417,0.208,0.127,0.139,0.373,12,22.78,3990,3549,"2500_to_20k",0.747,"nonadjacent"
15,309,"Nonmetro","Noncore_not_adjacent_to_a_metro_micro_area_and_does_not_contain_a_town_of_at_least_2500_residents","Farming",0.371,0.044,0.241,0.11,0.489,0.347,0.121,0.153694581,0.323152709,0.374384236,0.148768473,21,10,0.332,0.341,0.101,0.073,0.333,9,63.15,NA,NA,"less_than_2500",0.564,"nonadjacent"
17,288,"Nonmetro","Noncore_adjacent_to_micro_area_and_does_not_contain_a_town_of_at_least_2500_residents","Mining",0.476,0.028,0.252,0.166,0.492,0.255,0.178,0.094674556,0.387573964,0.310650888,0.207100592,13,10,0.314,NA,0.12,NA,0.394,10,NA,3780,3700,"less_than_2500",0.116,"nonadjacent"
19,300,"Nonmetro","Noncore_adjacent_to_a_small_metro_with_town_of_at_least_2500_residents","Nonspecialized",0.432,0.051,0.199,0.044,0.504,0.212,0.195,0.204343534,0.356367226,0.296150049,0.143139191,8,13,0.302,0.246,0.144,0.09,0.303,13,23.37,6549,3710,"2500_to_20k",0.066,"adjacent"
20,322,"Nonmetro","Noncore_not_adjacent_to_a_metro_micro_area_and_does_not_contain_a_town_of_at_least_2500_residents","Mining",0.417,0.087,0.243,0.089,0.497,0.215,0.219,0.228456914,0.436873747,0.248496994,0.086172345,9,15,0.346,0.22,0.126,0.071,0.343,11,49.02,1119,1640,"less_than_2500",0.017,"nonadjacent"
