"row_id","heart_disease_mortality_per_100k","metro_ruccs","population_ruccs","urban_influence","economic_typology","econ__pct_civilian_labor","econ__pct_unemployment","econ__pct_uninsured_adults","econ__pct_uninsured_children","demo__pct_female","demo__pct_below_18_years_of_age","demo__pct_aged_65_years_and_older","demo__pct_adults_less_than_a_high_school_diploma","demo__pct_adults_with_high_school_diploma","demo__pct_adults_with_some_college","demo__pct_adults_bachelors_or_higher","demo__birth_rate_per_1k","demo__death_rate_per_1k","health__pct_adult_obesity","health__pct_adult_smoking","health__pct_diabetes","health__pct_low_birthweight","health__pct_physical_inacticity","health__air_pollution_particulate_matter","health__motor_vehicle_crash_deaths_per_100k","health__pop_per_dentist","health__pop_per_primary_care_physician","yr","demo__pct_nonwhite","pure_population","metro_adjacency"
1594,313,"Metro","Metro > 1 million","1","Nonspecialized",0.504,0.068,0.187,0.073,0.51,0.24,0.14,0.110009911,0.418235877,0.312190287,0.159563925,10,9,0.338,0.247,0.1,0.077,0.301,14,14.82,2490,2239,"b",0.033,"> 1,000,000","metro"
2300,280,"Nonmetro","Urban 2,500-19,999 metro-adjacent","3","Manufacturing-dependent",0.548,0.04,0.205,0.097,0.508,0.251,0.152,0.115913556,0.445972495,0.271119843,0.166994106,13,9,0.299,0.212,0.11,0.084,0.324,14,22.35,4369,2359,"a",0.037,"2,500 - <20,000","adjacent"
3551,280,"Nonmetro","Rural metro non-adjacent","12","Farm-dependent",0.851,0.034,0.182,0.108,0.518,0.249,0.164,0.199191102,0.401415571,0.184024267,0.21536906,4,7,0.272,NA,0.107,NA,0.297,10,NA,NA,NA,"b",0.145,"< 2,500","nonadjacent"
5704,258,"Nonmetro","Urban >20,000 metro-adjacent","5","Federal/State government-dependent",0.377,0.061,0.311,0.115,0.487,0.252,0.145,0.165517241,0.299507389,0.373399015,0.161576355,14,9,0.247,0.243,0.105,0.083,0.22,10,9.49,2969,2109,"b",0.475,">20,000","adjacent"
1207,196,"Nonmetro","Rural metro non-adjacent","8","Federal/State government-dependent",0.46,0.067,0.132,0.04,0.493,0.176,0.211,0.159405941,0.435643564,0.244554455,0.16039604,10,9,0.286,0.253,0.11,0.095,0.224,11,NA,3120,3140,"b",0.021,"< 2,500","nonadjacent"
5636,308,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Nonspecialized",0.411,0.07,0.34,0.119,0.521,0.254,0.152,0.244554455,0.365346535,0.253465347,0.136633663,14,10,0.326,0.261,0.119,0.1,0.294,12,22.74,5120,2290,"b",0.4,"2,500 - <20,000","adjacent"
5942,271,"Metro","Metro > 1 million","1","Nonspecialized",0.488,0.087,0.182,0.055,0.516,0.231,0.143,0.122122122,0.308308308,0.26026026,0.309309309,12,9,0.278,0.192,0.095,0.082,0.275,11,8.58,1419,1000,"b",0.402,"> 1,000,000","metro"
4115,215,"Nonmetro","Urban >20,000 metro-adjacent","5","Nonspecialized",0.474,0.064,0.099,0.049,0.511,0.223,0.174,0.080436941,0.394240318,0.322740814,0.202581927,10,9,0.277,0.191,0.091,0.055,0.211,11,12.04,1270,540,"b",0.062,">20,000","adjacent"
3906,351,"Metro","Metro > 1 million","1","Manufacturing-dependent",0.421,0.089,0.24,0.074,0.519,0.236,0.162,0.210682493,0.354104847,0.286844708,0.148367953,12,14,0.379,0.237,0.133,0.106,0.285,12,29.21,6509,4059,"a",0.381,"> 1,000,000","metro"
373,219,"Metro","Metro <250k","2","Manufacturing-dependent",0.503,0.063,0.137,0.039,0.505,0.223,0.155,0.061553986,0.298688194,0.310797175,0.328960646,10,8,0.306,0.186,0.097,0.067,0.249,12,10.77,1539,1099,"b",0.063,"< 250,000","metro"
1228,379,"Metro","Metro > 1 million","1","Nonspecialized",0.39,0.064,0.332,0.163,0.507,0.252,0.127,0.235119048,0.381944444,0.279761905,0.103174603,14,10,0.315,0.316,0.093,0.077,0.277,9,33.04,4799,4230,"b",0.311,"> 1,000,000","metro"
1055,288,"Nonmetro","Urban >20,000 metro-adjacent","3","Nonspecialized",0.463,0.063,0.172,0.061,0.493,0.212,0.179,0.13030303,0.464646465,0.25959596,0.145454545,10,12,0.331,0.219,0.113,0.078,0.322,14,14,4409,1739,"a",0.062,">20,000","adjacent"
4270,349,"Nonmetro","Urban >20,000 metro-adjacent","3","Nonspecialized",0.444,0.058,0.216,0.052,0.509,0.23,0.164,0.181451613,0.346774194,0.324596774,0.147177419,12,12,0.319,0.219,0.126,0.09,0.312,13,31.53,2319,1749,"b",0.066,">20,000","adjacent"
2371,238,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.457,0.057,0.246,0.092,0.493,0.249,0.111,0.115115115,0.318318318,0.343343343,0.223223223,14,7,0.365,0.221,0.135,0.081,0.258,12,19.13,3729,3210,"a",0.33,"250,000 - 1,000,000","metro"
4839,292,"Metro","Metro <250k","2","Nonspecialized",0.438,0.071,0.214,0.066,0.51,0.206,0.19,0.171828172,0.400599401,0.26973027,0.157842158,10,11,0.273,0.267,0.102,0.075,0.328,13,16.94,4729,3259,"a",0.065,"< 250,000","metro"
3081,237,"Metro","Metro <250k","2","Farm-dependent",0.532,0.045,0.146,0.073,0.489,0.248,0.168,0.058589871,0.379344588,0.335650447,0.226415094,12,9,0.345,0.162,0.101,0.053,0.26,9,22.55,NA,3509,"b",0.046,"< 250,000","metro"
4463,347,"Nonmetro","Urban >20,000 metro-adjacent","3","Nonspecialized",0.441,0.046,0.317,0.122,0.511,0.228,0.202,0.178,0.344,0.314,0.164,11,13,0.279,0.246,0.101,0.079,0.3,10,24.85,3140,2190,"a",0.181,">20,000","adjacent"
6200,315,"Nonmetro","Urban 2,500-19,999 metro non-adjacent","9","Nonspecialized",0.385,0.072,0.266,0.085,0.52,0.245,0.182,0.226640159,0.32306163,0.289264414,0.161033797,11,11,0.358,0.202,0.163,0.139,0.36,13,38.52,4689,3169,"a",0.488,"2,500 - <20,000","nonadjacent"
2344,211,"Nonmetro","Rural metro-adjacent","7","Farm-dependent",0.565,0.039,0.213,0.123,0.493,0.209,0.206,0.118712274,0.323943662,0.367203219,0.190140845,10,4,0.314,0.151,0.101,0.083,0.297,10,NA,NA,NA,"a",0.067,"< 2,500","adjacent"
4883,265,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Nonspecialized",0.484,0.073,0.159,0.048,0.508,0.206,0.212,0.134254689,0.414610069,0.310957552,0.14017769,8,13,0.318,0.164,0.1,0.104,0.287,12,20.26,3559,3580,"a",0.019,"2,500 - <20,000","adjacent"
5845,281,"Nonmetro","Urban 2,500-19,999 metro-adjacent","3","Manufacturing-dependent",0.539,0.048,0.207,0.079,0.501,0.26,0.146,0.115346038,0.45336008,0.270812437,0.160481444,13,10,0.288,0.213,0.106,0.077,0.276,14,24.21,4400,2880,"b",0.047,"2,500 - <20,000","adjacent"
