"row_id","heart_disease_mortality_per_100k","metro_ruccs","population_ruccs","urban_influence","economic_typology","econ__pct_civilian_labor","econ__pct_unemployment","econ__pct_uninsured_adults","econ__pct_uninsured_children","demo__pct_female","demo__pct_below_18_years_of_age","demo__pct_aged_65_years_and_older","demo__pct_adults_less_than_a_high_school_diploma","demo__pct_adults_with_high_school_diploma","demo__pct_adults_with_some_college","demo__pct_adults_bachelors_or_higher","demo__birth_rate_per_1k","demo__death_rate_per_1k","health__pct_adult_obesity","health__pct_adult_smoking","health__pct_diabetes","health__pct_low_birthweight","health__pct_excessive_drinking","health__pct_physical_inacticity","health__air_pollution_particulate_matter","health__homicides_per_100k","health__motor_vehicle_crash_deaths_per_100k","health__pop_per_dentist","health__pop_per_primary_care_physician","yr","demo__pct_nonwhite","pure_population","metro_adjacency"
5704,258,"Nonmetro","Urban >20,000 metro-adjacent","5","Federal/State government-dependent",0.377,0.061,0.311,0.115,0.487,0.252,0.145,0.165517241,0.299507389,0.373399015,0.161576355,14,9,0.247,0.243,0.105,0.083,0.139,0.22,10,6.3,9.49,2969,2109,"b",0.475,">20,000","adjacent"
5942,271,"Metro","Metro > 1 million","1","Nonspecialized",0.488,0.087,0.182,0.055,0.516,0.231,0.143,0.122122122,0.308308308,0.26026026,0.309309309,12,9,0.278,0.192,0.095,0.082,0.164,0.275,11,8.02,8.58,1419,1000,"b",0.402,"> 1,000,000","metro"
3906,351,"Metro","Metro > 1 million","1","Manufacturing-dependent",0.421,0.089,0.24,0.074,0.519,0.236,0.162,0.210682493,0.354104847,0.286844708,0.148367953,12,14,0.379,0.237,0.133,0.106,0.156,0.285,12,8.7,29.21,6509,4059,"a",0.381,"> 1,000,000","metro"
1055,288,"Nonmetro","Urban >20,000 metro-adjacent","3","Nonspecialized",0.463,0.063,0.172,0.061,0.493,0.212,0.179,0.13030303,0.464646465,0.25959596,0.145454545,10,12,0.331,0.219,0.113,0.078,0.148,0.322,14,3.7,14,4409,1739,"a",0.062,">20,000","adjacent"
4270,349,"Nonmetro","Urban >20,000 metro-adjacent","3","Nonspecialized",0.444,0.058,0.216,0.052,0.509,0.23,0.164,0.181451613,0.346774194,0.324596774,0.147177419,12,12,0.319,0.219,0.126,0.09,0.113,0.312,13,2.05,31.53,2319,1749,"b",0.066,">20,000","adjacent"
2371,238,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.457,0.057,0.246,0.092,0.493,0.249,0.111,0.115115115,0.318318318,0.343343343,0.223223223,14,7,0.365,0.221,0.135,0.081,0.15,0.258,12,6.2,19.13,3729,3210,"a",0.33,"250,000 - 1,000,000","metro"
4839,292,"Metro","Metro <250k","2","Nonspecialized",0.438,0.071,0.214,0.066,0.51,0.206,0.19,0.171828172,0.400599401,0.26973027,0.157842158,10,11,0.273,0.267,0.102,0.075,0.038,0.328,13,3.8,16.94,4729,3259,"a",0.065,"< 250,000","metro"
4463,347,"Nonmetro","Urban >20,000 metro-adjacent","3","Nonspecialized",0.441,0.046,0.317,0.122,0.511,0.228,0.202,0.178,0.344,0.314,0.164,11,13,0.279,0.246,0.101,0.079,0.19,0.3,10,4.3,24.85,3140,2190,"a",0.181,">20,000","adjacent"
3689,365,"Nonmetro","Urban 2,500-19,999 metro-adjacent","6","Manufacturing-dependent",0.359,0.085,0.339,0.119,0.501,0.27,0.127,0.204545455,0.42687747,0.233201581,0.135375494,14,11,0.358,0.301,0.149,0.094,0.103,0.323,11,9,27.29,5589,2259,"b",0.515,"2,500 - <20,000","adjacent"
3034,238,"Metro","Metro 250k - 1 million","2","Federal/State government-dependent",0.533,0.044,0.159,0.046,0.508,0.216,0.137,0.127272727,0.255555556,0.223232323,0.393939394,11,8,0.239,0.138,0.102,0.094,0.151,0.226,11,6.1,7.43,1320,960,"a",0.458,"250,000 - 1,000,000","metro"
5167,284,"Metro","Metro > 1 million","1","Nonspecialized",0.529,0.062,0.135,0.04,0.508,0.249,0.108,0.094650206,0.323045267,0.332304527,0.25,12,8,0.315,0.21,0.074,0.077,0.235,0.229,12,1.9,11.5,1759,2200,"b",0.204,"> 1,000,000","metro"
4126,193,"Metro","Metro > 1 million","1","Nonspecialized",0.559,0.041,0.075,0.029,0.502,0.239,0.155,0.049850449,0.240279163,0.298105683,0.411764706,10,8,0.247,0.162,0.069,0.057,0.247,0.178,12,0.89,6.63,1209,730,"b",0.072,"> 1,000,000","metro"
4466,209,"Metro","Metro > 1 million","1","Nonspecialized",0.518,0.043,0.115,0.036,0.506,0.238,0.14,0.052419355,0.221774194,0.201612903,0.524193548,10,7,0.216,0.087,0.081,0.082,0.133,0.214,11,0.5,3.67,1100,929,"a",0.395,"> 1,000,000","metro"
3264,239,"Metro","Metro 250k - 1 million","2","Nonspecialized",0.468,0.036,0.181,0.056,0.514,0.207,0.18,0.125,0.348632813,0.297851563,0.228515625,10,10,0.336,0.204,0.114,0.076,0.073,0.327,13,2.8,12.82,1949,1590,"a",0.084,"250,000 - 1,000,000","metro"
4919,224,"Metro","Metro > 1 million","1","Nonspecialized",0.483,0.046,0.163,0.045,0.519,0.228,0.147,0.128514056,0.203815261,0.196787149,0.470883534,11,7,0.169,0.123,0.078,0.081,0.159,0.195,11,1.82,5.18,1010,710,"b",0.418,"> 1,000,000","metro"
6190,255,"Metro","Metro <250k","2","Federal/State government-dependent",0.501,0.061,0.197,0.073,0.532,0.221,0.103,0.12020202,0.251515152,0.335353535,0.292929293,12,7,0.357,0.19,0.083,0.114,0.132,0.241,12,8.1,16.93,1860,1010,"b",0.414,"< 250,000","metro"
